,0
경험,440.13657120413194
으시,296.8309165539047
개발,242.59320244474281
관련,134.64989962782536
서비스,132.36598162822128
운영,120.55784885443522
이해,115.43474863047828
사용,107.07759191308793
경험자,106.69345974480945
보유,102.7529416141574
또는,88.26461308273096
데이터,87.08844994344034
가능,87.04977620209273
활용,86.31213394079127
우대,85.64715882329784
시스템,84.56281434119185
기술,82.90891743298225
기반,80.48781345978597
환경,80.06386485568638
프로젝트,78.78827466525013
구축,75.53560001603142
설계,74.95406094697641
aws,74.33023954066468
업무,66.12863467301325
능력,65.64213348347143
관심,62.5522917687265
테스트,61.545617111330664
처리,61.42799162024479
클라우드,60.20865944637349
경력,59.70614498329787
관리,57.42712551193773
이상,56.709425544984
ai,55.08022594205389
지식,54.646036598727704
협업,54.218525574672476
커뮤니케이션,54.127300257185496
공학,52.82581574451264
컴퓨터,51.55511383877503
다양,51.329557305299296
습니다,51.03260569164059
분석,49.09738766211856
플랫폼,47.763096330584474
코드,47.3822307835528
보안,47.29419198152893
분야,47.17143144110498
문제,47.02685098900837
개선,46.024451358794664
이용,44.946720218892146
js,44.68286525733919
ᆸ니다,44.662065395451314
엔드,44.52320158166432
영어,43.58171009293609
해결,43.20003495820226
배포,43.181856780326136
이해도,41.050126857275714
자동,40.48183707804634
ci,39.791130725842635
혹은,39.72623789784571
가지,39.583562167477574
api,39.259135000659
규모,39.25893126145956
성능,38.603120672741035
cd,38.57529580690473
서버,38.40287568416596
react,38.08868343533268
자격증,37.86800598440716
작성,37.62996383668305
docker,37.35247359401857
소프트웨어,37.20856145084151
용량,35.71378388551317
원활,35.694837951503686
kubernetes,35.67265341858369
최적,35.29535938759859
인프라,35.1158396660227
소스,34.831677355040334
보유자,34.37599983486213
러닝,34.2939101452098
모델,33.83693978812344
오픈,33.71492354353522
python,33.54404853974878
주도,33.03635365305747
전공,32.9817180610898
새롭,32.020466315663825
언어,31.895375112081492
학위,31.885005929692426
도구,31.58465094822271
사항,31.575070726338343
정보,31.323794028793426
디자인,31.256851361026534
cloud,31.132134551436973
네트워크,31.066327076395908
역량,31.05145890673729
적극,30.64036282859529
ui,30.445690874073186
트래픽,29.983237320008204
적용,29.763836266696146
이런,29.563496069149036
익숙,29.108075654456517
능숙,28.878192570675928
도메인,28.849726528170407
수행,28.670658660810954
거나,28.627077586719064
학습,28.533651310354664
근무,28.493638362269277
실무,28.40981926104227
프로세스,28.07425892357794
아키텍처,28.028224856432253
구현,27.49328346317166
프로그래밍,27.243414036819818
git,27.18917689498106
제품,27.05623604726276
스타트업,26.606784346870338
성장,26.321906369100617
석사,25.54278352247379
azure,25.471500146712547
솔루션,25.343237024060244
