,0
개발,360.185862355214
경험,234.9010314741995
ᆸ니다,172.7649389230325
서비스,171.6665261620295
으시,158.21882557862938
운영,151.08196234680128
데이터,141.00913758145492
설계,134.98440136883596
이상,129.52744180983552
관리,125.6960789838122
시스템,117.84800869375731
엔드,117.56999453369792
기반,115.93322774361647
기술,111.43101432804265
경력,106.82279587623395
이해,105.03580787470143
사용,96.68565709194074
업무,94.01254366979278
활용,90.73701630519223
보유,88.4793480079035
관련,86.74449968739988
react,85.73618136075376
구축,85.63481284027637
가능,84.96753777969238
능력,82.46281882775635
분석,82.14579214957364
api,81.23152228044033
환경,80.57714920669238
또는,74.68782458273574
ai,74.12766262285909
js,73.91138014949692
유지,73.05346510776225
개선,72.1656021536214
어요,70.06233033650103
협업,69.47437869447688
프론트,68.63680975890793
테스트,67.40807321007004
플랫폼,67.20832930571596
프로젝트,66.85962305718644
보수,65.07141017288144
다양,64.87588985173443
구현,64.61784731183413
서버,63.020481064956
aws,62.85603809198616
문제,61.776163560565
모델,61.60362293265611
코드,59.671029772532705
기능,58.892847939238855
해결,58.50087334229787
클라우드,58.19338717298146
솔루션,57.95950033467837
보안,57.52369639498902
인프라,57.50117991486346
java,57.411146533874735
제품,57.40606306593494
습니다,56.663301873158325
python,55.59012270336416
처리,55.233773987031874
spring,54.21670277480118
성능,53.298767226487755
이용,52.222829154423366
커뮤니케이션,51.65921262769091
수행,50.55805806028057
역량,50.33981014794466
가지,49.9198539281359
typescript,49.22179187603546
최적,48.95071821789531
언어,48.793143730723564
배포,48.519984011657456
지식,47.7636732652631
능숙,47.75272324966926
지원,47.06467161363821
javascript,46.89438631193994
고객,46.64955675158004
작성,45.8523152730681
git,44.81266936318058
필요,44.29762345538302
신규,43.849446086703104
소프트웨어,43.58514125213736
러닝,43.56974079789364
and,43.162302685146756
자동,42.456575603329675
준하,42.445886749964906
프레임,42.151740289186485
워크,41.73520876114448
사용자,41.31215105929256
공학,40.861375461051814
담당,40.5746349343249
원활,40.28911433819922
품질,39.80811800609673
연동,39.73256634732619
연구,39.71436839668829
모니터링,39.38020413161087
데이터베이스,39.15105946695002
컴퓨터,38.88298109285703
분야,38.75238922680354
혹은,38.36980306624497
모바일,38.34076633445537
경험자,37.93182198831906
프로그래밍,37.903507011263166
db,37.69443425441135
네트워크,37.17249239108296
기본,36.80804961573294
알고리즘,36.793935777836346
진행,36.75016936110513
css,36.5205765728854
실무,36.255651760917765
안정,35.909377544438534
제공,35.90813164197953
함께,35.87123605539294
restful,35.58478355477606
mysql,35.47470933424043
html,35.43207465502874
아키텍처,35.36580617754739
사항,34.96341022395439
node,34.724776535149566
갖추,34.430802001780194
새롭,34.33895872733673
성장,34.148020256463006
linux,34.143596932215814
효율,34.09618046835667
ui,33.85796970102549
도구,33.7830204099677
정보,33.67913630110921
android,33.56010094133307
애플리케이션,33.546117046983696
프로세스,33.49693894415977
web,32.832220079983315
비즈니스,32.636840757031784
기획,32.39281037518415
전공,32.07392212715147
학력,31.70344763809435
지속,31.7025525425902
이런,31.55971322283064
개발자,31.501097766959518
학습,31.295966551779028
framework,31.29483576554161
요구,31.119072603693006
이해도,30.920905940719155
qa,30.539258931122678
스택,30.53665896844762
대응,30.510142162486144
ios,30.386457664801434
파이프라인,30.26194181636247
주도,30.172179879478403
적용,29.839013622781906
sql,29.82750100599331
end,29.553510303140733
native,29.53808959922761
학사,29.449799308926238
고도,28.930797663807596
수립,28.694328953319495
디자인,28.692909042417416
cd,28.691807772917333
구성,28.576440926070063
필수,28.476753019517353
kotlin,28.359314891158554
next,28.354834709324116
최적화,28.318862173383256
구조,28.12219734897357
ci,27.88161930625999
익숙,27.81171651539576
확장,27.559037714376387
빠르,27.533107680331813
관심,27.40512332777427
주요,26.781661405292677
전반,26.76049584919377
ux,26.73580918964883
cloud,26.538774424359023
문서,26.375207542623876
boot,26.297182732533606
작업,26.262000049064262
제어,26.224859335629553
만들,26.17836681060961
llm,25.802643700418937
리뷰,25.513478328958975
rest,25.44326502946108
vue,25.072390046201626
통신,24.960410260721556
적극,24.853168455049403
github,24.823398058407754
버전,24.74138993086197
app,24.689487127297724
it,24.578352526540154
어플리케이션,24.526197511798085
sw,24.39365525128818
검증,24.369198111518646
프로그램,24.310622203055132
프로덕트,24.28251625834001
rdbms,24.19660576262277
도록,23.949455817402825
소통,23.882965041539933
무관,23.77216424160668
자사,23.661678612940648
학위,23.580521356395312
kubernetes,23.577388705646815
통합,23.496675396393172
머신,23.303240860341916
최신,23.118568490842243
docker,22.984434458919473
flutter,22.965107893470986
유관,22.730298060726785
수집,22.718221706330343
data,22.500351484113537
엔지니어,22.45644642872364
이슈,22.1379068303542
기존,21.976249013856066
과정,21.922184228242127
ml,21.864998849958557
용량,21.779670678564553
해외,21.6935134565733
영상,21.585825978051705
향상,21.500197541226676
동료,21.42418374546371
조직,20.973754451695456
라이브러리,20.831578734359322
장애,20.823752110935352
블록체인,20.814890240018535
게임,20.722345070663454
리딩,20.616344442656736
모델링,20.30996767022562
거나,19.980091090129005
하나,19.775608324463878
최소,19.76495930389727
사고,19.62420299580737
back,19.352172297619973
application,19.35189295413821
모듈,19.322246013123355
참여,19.178567462059714
전략,19.03604962854926
in,19.000944984284164
바탕,18.889389097766927
to,18.78863447728329
전자,18.725797484597287
유연,18.59864286520054
postgresql,18.586477937643497
표준,18.54134251106905
트래픽,18.474593030334102
문화,18.395794710307285
nosql,18.297634444430237
팀원,18.27091310438139
정의,18.201148297806245
결제,18.196137987102503
제작,18.120727143679673
backend,18.107360347601926
규모,18.10723306694584
10,18.09898545505956
방법,18.095267997509193
계시,18.04944976865414
고민,17.900668909501654
평가,17.825751028280415
엔지니어링,17.685942052711702
소스,17.65429424862116
장비,17.5213633604216
대졸,17.409140319296792
devops,17.378806710636027
jira,17.378691838256554
실력,17.340058381564827
생성,17.33826157419673
로봇,17.230082783792287
글로벌,17.196989978197788
사업,17.10712878284419
front,17.032514894784075
부서,17.004268066209196
pytorch,16.96049878184101
공유,16.90549917402707
상태,16.885314967061195
고객사,16.80509247962111
도입,16.728771779825006
내부,16.505413212597514
보유자,16.448353358385557
외부,16.420078544658654
결격,16.362282018755604
결정,16.30038737059157
django,16.16689942923305
목표,16.162820828698962
실행,16.148454955380892
의료,16.131194624446785
면접,16.129181556866833
여행,16.087569624711005
도메인,16.021090401880596
의사,15.975398034621467
유저,15.956797768562316
frontend,15.954986224744635
사유,15.911210686681526
결과,15.910150435198664
지능,15.898967239264405
redis,15.88563943918178
jpa,15.870588992703805
포함,15.805610348749024
근무,15.80199342369049
엔진,15.655312883858393
검색,15.645482594639917
gcp,15.604299959615581
형상,15.604222499475851
실시간,15.593262845920053
요건,15.51092092467041
인공,15.48026312344806
발생,15.399497029572014
of,15.346896057865965
파악,15.31490316731454
클라이언트,15.285628869157955
보호,15.270203565251478
직군,15.214388593690677
도출,15.182803405940046
인증,15.100934371672732
or,15.01609898249058
시키,14.996774964056204
오피스,14.9694475775887
msa,14.913373760340715
나가,14.863315987928365
설정,14.727642181243933
고려,14.69897128742242
페이지,14.642764918593238
과제,14.620596988377251
직무,14.560011845488662
자격,14.503526731793933
컨테이너,14.465899429450419
아키텍쳐,14.420029832689108
논리,14.404809086520865
교육,14.362331755600268
협력,14.334574853560824
반응,14.270600837514646
신입,14.18978834789883
os,14.149726253209732
mongodb,14.149282136382459
system,14.123180063153404
tensorflow,14.09729499132015
sap,14.017626725113342
https,13.988805263659179
모든,13.961631589324636
채용,13.956332304608432
피드백,13.898230296274342
계획,13.879567654453913
졸업,13.865864623717103
분산,13.831940244348813
제안,13.782798817928727
임베디드,13.7054500625869
책임감,13.69516591758962
석사,13.629585155994699
효과,13.605988894257003
제시,13.595111643354073
windows,13.489016215945076
오픈,13.38982091046554
우대,13.37867078480729
디자이너,13.317016403251468
자료,13.296829458721087
es,13.260675973551447
가치,13.236741780755574
전문,13.236605790050064
전형,13.207258057792092
방식,13.181223714759172
원하,13.115285520508483
로직,13.099829621500637
경우,13.011818570186817
체계,13.009958948357493
중심,12.978653982557821
기업,12.968022590954522
on,12.952156397809224
수준,12.93323205817453
인터페이스,12.910694581602352
금융,12.907461139508607
with,12.89725352851772
지향,12.869012674371398
비전,12.812633494308031
learning,12.77208244466195
역할,12.758940720226104
열정,12.742094028552039
광고,12.71096592411637
도전,12.674224097776294
의사소통,12.610971939980885
여러,12.535460868249084
콘텐츠,12.521682433773735
활동,12.484788000880972
노력,12.3328697431166
서류,12.265963074010719
architecture,12.259842780292407
튜닝,12.243007615238113
커머스,12.215865499919063
pm,12.21540477705036
로그,12.211997980789219
하드웨어,12.197240013131019
go,12.196579081624474
상품,12.192568925858989
사내,12.129733107341856
빅데이터,12.117520763711765
자율,12.114513255953543
검토,12.093528638340137
즐기,12.084956897294454
azure,12.056186812378524
redux,12.048803431322117
test,11.991610895150773
erp,11.967596524253945
시각,11.941538070275119
핵심,11.941149927927368
kafka,11.93269222374699
이미지,11.916873531969905
nestjs,11.915405143718145
개인,11.910622384058248
회로,11.893453725827571
경력자,11.854448347102647
코딩,11.846886319335944
실험,11.810204945155926
각종,11.789308858374605
vision,11.784613061889011
리드,11.783697950410284
saas,11.774953559852259
software,11.768392659878911
engineer,11.73579167381086
상황,11.719195363093025
query,11.716010885798125
형태,11.712563255565618
php,11.697688835212784
제출,11.68690102277419
컴포넌트,11.678080189700667
service,11.622663436114276
oracle,11.607237352075188
기여,11.572550353005239
해당,11.566840874507598
다른,11.565523836063024
전공자,11.56131288000975
기타,11.54190931107069
the,11.530135251110728
드리,11.502860460041838
복잡,11.481306882169438
이하,11.462807913589224
다루,11.429272218305988
platform,11.427512105147732
병역,11.408154253691274
연계,11.39206204946032
스킬,11.379195739086004
크로스,11.356692865791858
일정,11.272775589108795
product,11.26826506771529
고자,11.234702008741436
응용,11.213460930806702
출시,11.205875199501527
디지털,11.194240151947882
긍정,11.151216413406564
접근,11.113350866932015
로서,11.113304546284734
server,11.09407158612727
지표,11.07746633877271
생산,11.068048415324354
fastapi,11.020767787438016
사이트,11.015877875789164
중요,11.012608818318778
slack,11.01250105467689
리눅스,10.993062195491003
공통,10.9929859612292
방향,10.985451505977862
nodejs,10.966162001263829
정책,10.865556698027818
자기,10.860970433069502
상용,10.689572100503545
전기,10.671131687993368
swift,10.62501324214426
탐지,10.610935610606896
학과,10.57344417298954
